DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5000	P5010	P5016	P5016S5	P5016S6	P5016S2	P5016S3	P5016S4	P5666	P8526	P5022	P5024	P5030	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU	LLAVEHOG	FEX_C
5000000	1	1	591	1	3	2			1				1	1	1	1	1	1	2										1	1	2	1	2	2	2	1	1	6	1		2	2		2	2	1650000	1650000	825000	0	50000001	828.880118315855
5000001	1	1	591	1	1	1						1	2	1	1	1	1	1	2										1	1	1	2	2	1	2	1	1	6	5	2				2	1	1500000	1500000	1500000	0	50000011	347.919640627444
5000002	1	1	591	1	3	3						1	1	1	2	1	1	1	2										1	1	1	2	2	2	2	1	1	2	1		2	2		2	5	1021750	1021750	204350	0	50000021	723.139575208513
5000003	1	1	591	1	3	1			1				1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	2	1	1		2	2		2	1	800000	800000	800000	0	50000031	298.315433826033
5000004	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	1	2	2	1	2	2	2	2	3	1		2	2		2	3	1489000	1489000	496333.333333333	0	50000041	207.220029578964
5000005	1	1	591	1	4	2				1	1		1	1	1	2	1	1	2										1	2	1	2	2	2	2	2	2	2	1		2	2		2	3	2227875	2227875	742625	0	50000051	468.54368103057
5000007	1	1	591	1	4	1				1	1		2	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	2	1	1	2	1		4	2		1	1	1096908.5	1096908.5	1096908.5	0	50000071	633.230794023337
5000008	1	1	591	1	4	3						1	1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	2	1		2	2		2	7	2265000	2265000	323571.428571429	0	50000081	980.313060125374
5000010	1	1	591	1	2	1				1	1		1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	2	1		2	2		2	3	1066454	1066454	355484.666666667	0	50000101	708.133583044933
5000014	1	1	591	1	4	1			1				1	1	1	1	1	1	2										1	1	1	2	2	1	2	1	1	2	1		2	2		2	3	6333333.33333333	6333333.33333333	2111111.11111111	0	50000141	2657.77714816631
5000015	1	1	591	1	2	1				1	1		1	1	1	1	1	1	1		1	1							1	1	1	1	2	2	2	1	1	2	1		2	2		1	2	2175000	2175000	1087500	0	50000151	1694.50272934444
5000017	1	1	591	1	4	3			1	1	1		1	1	1	1	1	1	1		1		1	1					1	1	1	1	2	2	2	1	1	1	1		2	2		2	4	1850000	1850000	462500	0	50000171	2956.1643247549
5000019	1	1	591	1	4	2						1	1	1	1	2	1	1	2										1	1	1	2	2	1	2	1	1	2	1		2	2		2	4	2700000	2700000	675000	0	50000191	2870.34287780229
5000020	1	1	591	1	4	1						1	1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	1	1		2	2		2	1	1900000	1900000	1900000	0	50000201	2161.78254060612
5000022	1	1	591	1	4	3			1				1	1	1	1	1	1	2										1	1	1	1	2	1	2	1	1	1	1		2	2		1	6	1131833.33333333	1131833.33333333	188638.888888889	0	50000221	1974.91464404045
